Input Size (n),Algorithm,Fibonacci Value,Execution Time (seconds),Memory Usage (KB)
5,Recursive Fibonacci,5,4.212000021652784e-06,0.0
5,Iterative Fibonacci,5,9.392999800184043e-06,0.0859375
5,Dynamic Programming Fibonacci,5,5.05499974678969e-06,0.15625
10,Recursive Fibonacci,55,1.2596000033227028e-05,0.0
10,Iterative Fibonacci,55,3.741000000445638e-06,0.0859375
10,Dynamic Programming Fibonacci,55,1.5762000202812487e-05,0.4375
15,Recursive Fibonacci,610,0.00018057700026474777,0.0625
15,Iterative Fibonacci,610,1.0362000011809869e-05,0.1015625
15,Dynamic Programming Fibonacci,610,1.5783999970153673e-05,0.8359375
20,Recursive Fibonacci,6765,0.0018998609998561733,0.15625
20,Iterative Fibonacci,6765,2.090599991788622e-05,0.1328125
20,Dynamic Programming Fibonacci,6765,3.7258999782352475e-05,0.8359375
25,Recursive Fibonacci,75025,0.017323302000022522,1.4375
25,Iterative Fibonacci,75025,1.9565000002330635e-05,0.1328125
25,Dynamic Programming Fibonacci,75025,3.444499998295214e-05,1.9453125
30,Recursive Fibonacci,832040,0.19207672299990008,2.4375
30,Iterative Fibonacci,832040,2.099899984386866e-05,0.1328125
30,Dynamic Programming Fibonacci,832040,4.137599989917362e-05,1.9453125
35,Recursive Fibonacci,9227465,2.357384434999858,7.541015625
35,Iterative Fibonacci,9227465,2.777700001388439e-05,0.1328125
35,Dynamic Programming Fibonacci,9227465,5.472599968925351e-05,1.9453125
