Input Size,Condition,Algorithm,Execution Time (seconds),Memory Usage (KB)
100,Sorted,Bubble Sort,1.3393000244832365e-05,4201.833984375
100,Sorted,Insertion Sort,1.8836999970517354e-05,0.8671875
100,Sorted,Merge Sort,0.000537515999894822,1.984375
100,Sorted,Quick Sort,0.00017446599986215006,0.8671875
100,Reverse Sorted,Bubble Sort,0.0005493310000019846,0.90625
100,Reverse Sorted,Insertion Sort,0.00027083999975729967,0.8671875
100,Reverse Sorted,Merge Sort,0.00047974299968700507,1.984375
100,Reverse Sorted,Quick Sort,0.00017247200003112084,0.8671875
100,Random,Bubble Sort,0.00044220600011612987,0.90625
100,Random,Insertion Sort,0.00012846500021623797,0.8671875
100,Random,Merge Sort,0.0005064030001449282,1.78125
100,Random,Quick Sort,0.0001770329999999376,0.8671875
300,Sorted,Bubble Sort,8.971499983090325e-05,2.55859375
300,Sorted,Insertion Sort,0.00012484799981393735,2.48828125
300,Sorted,Merge Sort,0.0016257249999398482,5.890625
300,Sorted,Quick Sort,0.0014163010000629583,3.3359375
300,Reverse Sorted,Bubble Sort,0.009341268999833119,3.1708984375
300,Reverse Sorted,Insertion Sort,0.005190403000142396,2.5625
300,Reverse Sorted,Merge Sort,0.001611611000043922,5.890625
300,Reverse Sorted,Quick Sort,0.001273207999929582,2.9140625
300,Random,Bubble Sort,0.0065522790000613895,2.63671875
300,Random,Insertion Sort,0.0027868120000675844,2.48828125
300,Random,Merge Sort,0.0015886179999142769,5.109375
300,Random,Quick Sort,0.001253826999800367,2.9140625
500,Sorted,Bubble Sort,0.0006315619998531474,4.12109375
500,Sorted,Insertion Sort,0.0011807730002146855,4.05078125
500,Sorted,Merge Sort,0.004177543999958289,9.796875
500,Sorted,Quick Sort,0.007582438000099501,5.0849609375
500,Reverse Sorted,Bubble Sort,0.1249252699999488,5.2978515625
500,Reverse Sorted,Insertion Sort,0.059417375000066386,4.05078125
500,Reverse Sorted,Merge Sort,0.0032165659999918716,9.796875
500,Reverse Sorted,Quick Sort,0.004370109000319644,4.6015625
500,Random,Bubble Sort,0.11075841299998501,11.162109375
500,Random,Insertion Sort,0.04715461200021309,4.8349609375
500,Random,Merge Sort,0.002545674999964831,8.2578125
500,Random,Quick Sort,0.005508646000180306,5.1953125
1000,Sorted,Bubble Sort,0.0011765939998440444,8.02734375
1000,Sorted,Insertion Sort,0.0018005189999712456,7.95703125
1000,Sorted,Merge Sort,0.005733828999836987,19.59375
1000,Sorted,Quick Sort,0.01205435599968041,8.5546875
1000,Reverse Sorted,Bubble Sort,1.0143961049998325,11.5224609375
1000,Reverse Sorted,Insertion Sort,0.5344719760000771,11.275390625
1000,Reverse Sorted,Merge Sort,0.006860298999981751,19.59375
1000,Reverse Sorted,Quick Sort,0.01491357400027482,9.326171875
1000,Random,Bubble Sort,0.8267629990000387,11.0029296875
1000,Random,Insertion Sort,0.34995722699977705,11.2294921875
1000,Random,Merge Sort,0.00745470399988335,16.84375
1000,Random,Quick Sort,0.015304707999803213,9.1171875
2000,Sorted,Bubble Sort,0.0026635129997885088,15.83984375
2000,Sorted,Insertion Sort,0.004030133000014757,15.76953125
2000,Sorted,Merge Sort,0.014143674000024475,39.125
2000,Sorted,Quick Sort,0.03050216099973113,16.4296875
2000,Reverse Sorted,Bubble Sort,5.202016358000037,19.265625
2000,Reverse Sorted,Insertion Sort,2.6678898000000117,19.0419921875
2000,Reverse Sorted,Merge Sort,0.014183465999849432,39.708984375
2000,Reverse Sorted,Quick Sort,0.0318346730000485,16.5703125
2000,Random,Bubble Sort,4.026229209999656,18.8408203125
2000,Random,Insertion Sort,1.7031677689997196,19.0419921875
2000,Random,Merge Sort,0.021693835999940347,33.865234375
2000,Random,Quick Sort,0.043204301000059786,17.1171875
